date,revenue,customers,churn,category,channel
2026-01-01,4431.1517858171055,75,1,Electronics,Partner
2026-01-02,3511.0224907327,69,0,Electronics,Online
2026-01-03,2366.5482729889563,48,0,Sports,Online
2026-01-04,4412.635261578945,63,0,Electronics,Online
2026-01-05,5237.248973742537,62,0,Electronics,Retail
2026-01-06,4300.215857335127,41,0,Beauty,Online
2026-01-07,5565.786264895235,64,0,Beauty,Partner
2026-01-08,3794.8118509595865,47,1,Home,Retail
2026-01-09,4026.0086453107424,40,0,Beauty,Online
2026-01-10,3504.946073796471,58,0,Electronics,Partner
2026-01-11,4583.73342222218,75,0,Home,Partner
2026-01-12,4464.721720458422,55,0,Home,Online
2026-01-13,5323.0958746078395,55,0,Beauty,Online
2026-01-14,5299.616301458489,66,0,Sports,Online
2026-01-15,3062.4235459560828,51,0,Sports,Partner
2026-01-16,3298.1194074394507,60,0,Home,Partner
2026-01-17,4192.692570229435,66,0,Sports,Partner
2026-01-18,2843.6591465659,39,0,Sports,Partner
2026-01-19,4854.209148180814,51,0,Beauty,Partner
2026-01-20,3248.243627455671,56,0,Sports,Online
2026-01-21,4850.227268382893,51,1,Beauty,Partner
2026-01-22,4486.051914963268,67,1,Home,Partner
2026-01-23,5579.3029509405205,68,1,Beauty,Retail
2026-01-24,2393.7042307313577,50,0,Electronics,Online
2026-01-25,6639.523893299361,66,1,Sports,Partner
2026-01-26,2833.040773783033,45,0,Sports,Online
2026-01-27,5471.548186848191,69,0,Beauty,Retail
2026-01-28,3940.091608664853,68,0,Electronics,Retail
2026-01-29,2888.6916922115765,36,1,Electronics,Online
2026-01-30,4047.3324554907495,39,0,Electronics,Partner
2026-01-31,2439.194314722794,50,0,Sports,Online
2026-02-01,5754.24007419114,65,0,Electronics,Partner
2026-02-02,3103.243500695429,62,1,Electronics,Online
2026-02-03,5788.533283070093,60,0,Electronics,Online
2026-02-04,2247.6438423707737,47,0,Home,Online
2026-02-05,5733.730876745246,63,0,Electronics,Online
2026-02-06,7671.096727463564,69,0,Home,Retail
2026-02-07,4591.282647654061,66,0,Electronics,Online
2026-02-08,2014.92884090648,59,0,Beauty,Retail
2026-02-09,6719.549944180682,70,0,Home,Retail
2026-02-10,3730.962048223091,48,0,Electronics,Online
2026-02-11,4915.554516474089,72,0,Home,Online
2026-02-12,4269.01578972914,67,0,Home,Retail
2026-02-13,4757.607031847661,42,0,Electronics,Partner
2026-02-14,2134.280419630104,40,0,Home,Partner
2026-02-15,3122.808582448632,55,0,Beauty,Retail
2026-02-16,5156.9084352201735,55,0,Electronics,Online
2026-02-17,4345.676876296052,69,0,Beauty,Online
2026-02-18,4215.35352329173,50,0,Electronics,Partner
2026-02-19,5797.691381477608,70,0,Home,Retail
2026-02-20,3785.3368308156664,42,0,Home,Partner
2026-02-21,3129.6169861023577,56,0,Beauty,Partner
2026-02-22,4482.394221979664,66,0,Beauty,Online
2026-02-23,2268.6640592834033,35,1,Beauty,Online
2026-02-24,4767.55217949985,63,1,Home,Partner
2026-02-25,3313.028214467051,37,0,Home,Retail
2026-02-26,1500,43,0,Electronics,Retail
2026-02-27,5173.081488161235,48,0,Beauty,Partner
2026-02-28,5725.9225345550685,61,0,Home,Online
2026-03-01,1819.0871194305535,61,0,Beauty,Retail
2026-03-02,3361.518255168112,50,0,Sports,Online
2026-03-03,3794.5465883334723,47,0,Beauty,Online
2026-03-04,2959.794016025332,49,0,Beauty,Retail
2026-03-05,5341.138416360941,67,0,Beauty,Online
2026-03-06,3718.452473233301,42,0,Electronics,Online
2026-03-07,6204.4185434559995,73,0,Beauty,Retail
2026-03-08,8010.522448851824,73,0,Electronics,Partner
2026-03-09,4411.094012321009,62,0,Home,Retail
2026-03-10,3261.935559255086,62,0,Electronics,Partner
2026-03-11,3527.4864626771823,54,0,Beauty,Retail
2026-03-12,4460.26754471552,53,0,Home,Partner
2026-03-13,5726.501733029214,71,0,Electronics,Retail
2026-03-14,3573.634901001184,53,0,Sports,Retail
2026-03-15,2689.2341899225858,48,0,Home,Partner
2026-03-16,2152.8487459116377,40,1,Home,Partner
2026-03-17,2621.4871364386026,54,0,Electronics,Online
2026-03-18,3801.3665482502956,50,0,Home,Partner
2026-03-19,3641.091136602588,59,0,Electronics,Online
2026-03-20,4312.909309649068,62,0,Home,Online
2026-03-21,2843.066882060355,64,0,Beauty,Retail
2026-03-22,7057.323567382942,74,0,Sports,Online
2026-03-23,4281.7442879818345,65,0,Beauty,Partner
2026-03-24,5241.339142137493,66,0,Beauty,Retail
2026-03-25,5267.443095716075,55,1,Home,Online
2026-03-26,4813.748330799249,59,0,Sports,Retail
2026-03-27,2158.8290358915892,38,0,Electronics,Partner
2026-03-28,4922.504282418677,59,0,Sports,Partner
2026-03-29,5795.07315173873,69,0,Sports,Online
2026-03-30,4389.651914447241,52,0,Sports,Partner
2026-03-31,4102.82304654701,45,0,Electronics,Retail
2026-04-01,6575.278602828132,72,1,Sports,Online
2026-04-02,2655.641265602946,38,0,Sports,Retail
2026-04-03,3937.421944264511,56,0,Beauty,Online
2026-04-04,4430.274337245139,65,0,Beauty,Online
2026-04-05,2684.9094926969005,39,0,Home,Online
2026-04-06,3564.7483404702166,74,1,Electronics,Partner
2026-04-07,3506.5240271810976,48,0,Electronics,Online
2026-04-08,3874.599682752192,54,1,Beauty,Partner
2026-04-09,4120.4172889429565,59,0,Home,Online
2026-04-10,4535.016621947706,54,0,Electronics,Partner
2026-04-11,1942.360514175587,37,0,Beauty,Online
2026-04-12,5654.471481901683,61,1,Beauty,Partner
2026-04-13,4284.129398905158,64,0,Beauty,Partner
2026-04-14,6382.10807105675,69,0,Beauty,Retail
2026-04-15,5648.441480975092,50,0,Sports,Partner
2026-04-16,6796.939219031579,74,0,Sports,Retail
2026-04-17,3095.8536650056476,46,0,Beauty,Partner
2026-04-18,3076.2789925502234,35,0,Home,Partner
2026-04-19,4602.111502602926,61,0,Sports,Retail
2026-04-20,1500,36,0,Home,Retail
2026-04-21,4416.207094805337,72,0,Beauty,Retail
2026-04-22,4001.7185632285996,64,0,Electronics,Partner
2026-04-23,3101.3888857831066,47,0,Home,Online
2026-04-24,2577.1387189578154,65,0,Beauty,Online
2026-04-25,2760.84760899098,47,0,Home,Retail
2026-04-26,3932.4641905166054,37,0,Home,Partner
2026-04-27,4471.720885624569,66,0,Beauty,Online
2026-04-28,2517.850517698545,38,0,Electronics,Online
2026-04-29,3536.49825528114,60,1,Beauty,Online
2026-04-30,2490.872587311493,50,0,Home,Partner
2026-05-01,3008.661160308627,59,0,Beauty,Partner
2026-05-02,4737.280694226988,74,0,Electronics,Online
2026-05-03,4539.749191955075,75,1,Electronics,Online
